No,Age,Gender,Average_mark,Repeated_a_Class,Suspended,Academic_Performance ,Family_Background,Students_Attitude ,Class_Attendance,Behavior ,Culture ,Grade ,Students_Responsibility ,Dropouts
153,18,0,34,0,0,1,1,1,1,1,1,1,1,1
154,30,1,26,0,0,1,2,1,1,1,1,1,1,1
155,30,1,60,0,0,1,2,1,1,3,1,1,1,1
156,24,0,69,0,0,1,1,1,1,3,1,1,1,1
157,18,0,68,0,0,4,3,3,4,1,1,1,3,1
158,18,0,67,0,0,3,2,1,4,2,2,3,1,0
159,27,0,50,0,0,1,1,1,2,3,1,3,1,0
160,30,0,59,0,0,3,1,1,3,3,3,3,1,0
161,29,0,56,0,0,2,1,1,2,3,1,3,4,1
162,24,1,54,0,0,1,1,1,3,3,1,4,3,1
163,24,1,48,0,0,1,1,1,1,2,2,1,1,1
164,40,1,61,0,0,2,2,1,1,3,1,1,1,1
165,26,0,31,0,0,1,1,1,3,1,1,1,1,1
166,30,0,90,0,0,4,2,2,4,2,1,4,3,0
167,24,1,63,0,0,4,3,3,4,3,3,1,3,1
168,18,1,59,0,0,1,1,3,3,1,1,3,3,0
169,30,0,57,0,0,3,1,1,2,1,3,3,1,0
170,30,0,56,0,0,2,2,2,2,1,1,2,1,1
171,30,0,65,0,0,2,2,2,2,1,2,2,4,1
172,36,0,54,0,0,2,2,2,2,2,2,4,2,0
173,30,0,39,0,0,2,2,2,2,3,1,2,2,1
174,18,0,50,0,0,3,2,1,3,3,1,3,3,0
175,24,0,60,0,0,3,1,1,3,3,1,3,3,0
176,18,0,70,0,0,1,2,2,1,3,1,1,2,1
177,18,1,50,0,0,1,1,1,1,1,1,2,3,1
178,40,1,60,1,0,2,4,1,1,4,3,3,4,0
179,18,0,50,0,0,1,1,1,3,1,1,3,1,1
180,18,0,60,0,0,1,1,2,2,1,1,1,1,1
181,30,1,45,0,0,2,2,3,2,3,3,4,1,1
182,18,0,30,1,0,2,2,2,1,4,2,2,2,1
183,24,0,50,0,0,2,2,2,3,1,1,1,1,1
184,30,0,60,0,0,3,1,1,1,3,1,1,1,1
185,18,1,60,0,0,3,3,3,3,3,3,3,3,0
186,18,0,46,0,0,1,1,2,2,1,2,1,2,1
187,24,0,44,0,0,4,4,4,4,4,4,4,4,0
188,20,0,50,0,0,3,1,2,1,1,1,2,3,1
189,40,0,63,0,0,4,2,2,2,1,1,4,4,0
190,18,0,46,0,0,1,1,1,1,1,3,3,3,0
191,18,0,35,0,0,3,2,1,1,3,1,3,3,1
192,18,1,46,0,0,2,2,2,2,3,1,3,3,1
193,18,0,72,0,0,4,1,1,3,3,1,1,3,1
194,18,0,46,0,0,1,1,1,1,1,4,3,1,0
195,18,0,90,0,0,1,2,1,1,1,1,3,3,0
196,24,0,20,0,0,3,3,1,1,1,1,1,3,1
197,24,1,25,0,1,2,1,1,1,1,1,1,1,1
198,30,1,50,0,0,1,1,1,1,3,1,1,1,1
199,36,0,46,0,0,1,1,1,2,1,1,1,1,1
200,30,1,33,0,0,1,3,1,3,1,1,1,1,1
201,40,0,59,0,0,1,1,1,4,3,1,1,1,1
202,30,1,96,0,1,3,2,1,3,3,3,4,3,0
203,30,0,25,0,0,1,1,1,1,1,1,1,1,1
204,24,0,66,0,0,2,1,1,3,3,1,1,1,1
205,24,0,46,0,1,3,1,1,3,1,1,1,3,1
206,18,0,97,1,0,4,1,1,1,1,1,4,2,0
207,30,0,63,0,0,1,1,1,1,1,1,3,1,0
208,30,1,50,0,0,2,4,2,1,1,1,1,1,1
209,24,0,50,0,0,3,1,1,3,3,3,3,3,1
210,18,0,50,0,0,4,4,1,4,4,2,4,4,0
211,18,1,50,0,0,1,5,5,4,5,3,5,1,0
212,27,1,46,0,1,4,4,4,2,4,1,2,4,1
213,30,0,63,0,0,2,2,2,3,3,1,1,3,1
214,29,0,35,0,0,1,1,5,1,5,1,1,1,1
215,24,1,53,0,0,2,1,1,3,1,2,2,3,1
216,24,1,36,0,0,4,1,1,1,3,3,4,4,0
217,24,1,60,0,0,3,1,1,1,1,1,1,3,1
218,18,0,60,0,0,2,2,2,1,1,1,1,1,1
219,30,1,60,0,0,3,3,1,1,1,3,3,3,0
220,30,0,60,0,0,2,2,2,4,1,3,2,2,1
221,24,1,60,0,0,1,1,1,1,1,1,1,3,1
222,18,0,56,0,0,3,1,1,1,3,3,1,1,1
223,18,1,37,0,0,2,1,1,1,1,1,3,2,0
224,27,0,40,1,1,1,1,1,1,1,1,1,1,1
225,30,1,40,1,0,1,1,1,1,2,1,1,2,1
226,29,1,20,1,0,1,2,3,3,3,1,1,1,1
227,24,1,30,1,0,1,1,1,1,1,2,2,5,1
228,18,0,52,1,0,2,2,1,1,1,1,1,5,1
229,18,1,29,1,1,1,1,1,1,1,1,1,1,1
230,27,1,38,0,0,2,2,1,1,1,2,1,1,1
231,30,1,27,1,1,1,1,1,1,1,2,2,1,1
232,29,1,46,0,1,2,2,2,1,1,1,1,1,1
233,24,1,28,1,1,2,2,1,1,1,1,1,1,1
234,18,1,40,1,1,2,2,2,2,2,2,2,1,1
235,18,1,40,1,1,1,1,1,1,1,2,2,1,1
236,27,1,30,1,1,2,2,1,1,1,1,3,1,0
237,30,1,43,1,1,1,1,1,2,2,2,2,1,1
